UG_COD,UG_DESC,UF
120090,COMISSAO AERONAUTICA BRASILEIRA EM WASHINGTON,EX
120091,COMISSAO AERONAUTICA BRASILEIRA NA EUROPA,EX
120096,HOSPITAL DE FORCA AEREA DE BRASILIA,CO
120097,PREFEITURA DE AERONAUTICA DE SAO PAULO,SP
130010,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/DF,DF
130014,SUPERINT.FED.DE AGRIC.,DF
130016,LABORATORIO NACIONAL AGROPECUARIO/PE,PE
130017,LABORATORIO NACIONAL AGROPECUARIO NO PARA,PA
130018,SUPERINT.FED.DE AGRIC.,TO
130021,SUPERINT.FED.DE AGRIC.,PI
130022,SUPERINT.FED.DE AGRIC.,CE
130023,SUPERINT.FED.DE AGRIC.,RN
130024,SUPERINT.FED.DE AGRIC.,PB
130025,SUPERINT.FED.DE AGRIC.,PE
130026,DISTRITO DE METEOROLOGIA DE RECIFE,PE
130027,SUPERINT.FED.DE AGRIC.,AL
130028,SUPERINT.FED.DE AGRIC.,SE
130029,SUPERINT.FED.DE AGRIC.,BA
130031,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/PA,PA
130032,LABORATORIO NACIONAL AGROPECUARIO EM GOIAS,GO
130056,SUPERINT.FED.DE AGRIC.,MG
130058,LABORATORIO NACIONAL AGROPECUARIO/MG,MG
130060,SUPERINT.FED.DE AGRIC.,ES
130062,SUPERINT.FED.DE AGRIC.,MS
130063,SUPERINT.FED.DE AGRIC.,RJ
130067,SUPERINT.FED.DE AGRIC.,SP
130069,SUPERINT.FED.DE AGRIC.,MA
130070,SUPERINT.FED.DE AGRIC.,PR
130072,SUPERINT.FED.DE AGRIC.,SC
130074,SUPERINT.FED.DE AGRIC.,RS
130077,SUPERINT.FED.DE AGRIC.,MT
130080,SUPERINT.FED.DE AGRIC.,GO
130083,SUPERINT.FED.DE AGRIC.,RO
130088,SUPERINT.FED.DE AGRIC.,AC
130090,SUPERINT.FED.DE AGRIC.,AM
130093,SUPERINT.FED.DE AGRIC.,RR
130094,SUPERINT.FED.DE AGRIC.,PA
130100,SUPERINT.FED.DE AGRIC.,AP
130102,LABORATORIO NACIONAL AGROPECUARIO/SP,SP
130103,LABORATORIO NACIONAL AGROPECUARIO/RS,RS
130122,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/BA-AD,BA
130126,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/PA,PA
130127,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/AM,AM
130128,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/RO,RO
130132,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/BA,BA
130133,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/BA,BA
133003,SUPERINT. NAC.REGULARIZ. FUND. AMAZONIA LEGAL,AM
133080,SUPERINTENDENCIA REG.DO SUL DO PARA-SR/27-E,PA
133088,SUPERINT. REG. DO DISTRITO FEDERAL E ENTORNO,DF
135001,EMBRAPA/CPAF-RONDONIA,RO
135002,EMBRAPA/CPAF-ACRE,AC
135005,EMBRAPA/CPAF-RORAIMA,RR
135008,EMBRAPA/CPAF-AMAPA,AP
135042,EMBRAPA/UEP/RECIFE,NE
135045,CONAB SEDE SUREG AMAZONAS,AM
135098,CAIXA ECONOMICA FEDERAL/MA,MA
135101,CONAB SEDE SUREG BAHIA,BA
135115,CONAB SEDE SUREG CEARA,CE
135141,CONAB SEDE SUREG GOIAS,GO
135145,UA/PALMEIRAS DE GOIAS,GO
135170,CONAB SEDE SUREG MARANHAO,MA
135182,CONAB SEDE SUREG MINAS GERAIS,MG
135209,CONAB SEDE SUREG MATO GROSSO,MT
135219,UA/PORTO VELHO,NO
135229,UA/RIO BRANCO,NO
135242,CONAB SEDE SUREG PARA,PA
135246,UA/MANAUS,NO
135265,CONAB SEDE SUREG PARANA,PA
135284,CONAB SEDE SUREG SANTA CATARINA,SC
135285,CONAB SEDE SUREG PERNAMBUCO,PE
135304,UA/RECIFE,NE
135305,CONAB SEDE SUREG RIO DE JANEIRO,RJ
135315,CONAB SEDE SUREG RIO GRANDE DO SUL,RS
135337,CONAB SEDE SUREG TOCANTINS,TO
135345,CONAB SEDE/SUREG PI,PI
135457,CONAB SEDE SUREG RIO GRANDE DO NORTE,RN
135458,CONAB SEDE SUREG ES,ES
135476,CONAB SEDE SUREG PARAIBA,PA
135545,UNIDADE CONAB PAA PARANA,PA
135557,UNIDADE ARMAZENADORA BOA VISTA,NO
135586,CONAB SEDE SUREG ALAGOAS,AL
135596,CONAB SEDE SUREG AMAPA,AP
135605,CONAB SEDE SUREG ACRE,AC
151909,IF DE PERNAMBUCO (CAMPUS CARUARU),PE
151910,IF DE PERNAMBUCO (CAMPUS GARANHUNS),PE
