UG_COD,UG_COD_DESC,UF,REGIÃO
90016,090016 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RJ,,
90017,090017 - JUSTICA FEDERAL DE PRIMEIRO GRAU - SP,,
90018,090018 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PR,,
90019,090019 - JUSTICA FEDERAL DE PRIMEIRO GRAU - SC,,
90020,090020 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RS,,
90021,090021 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MT,,
90022,090022 - JUSTICA FEDERAL DE PRIMEIRO GRAU - GO,,
90023,090023 - JUSTICA FEDERAL DE PRIMEIRO GRAU - DF,,
90024,090024 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AC,,
90025,090025 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RO,,
90026,090026 - SECRETARIA DO CONSELHO DA JUSTICA FEDERAL,,
90027,090027 - SECRETARIA DO T.R.F. DA 1A. REGIAO,,
90028,090028 - TRIBUNAL REGIONAL FEDERAL DA 2A. REGIAO,,
90029,090029 - TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO,,
90030,090030 - TRIBUNAL REGIONAL FEDERAL DA 4A.REGIAO,,
90031,090031 - TRIBUNAL REGIONAL FEDERAL DA 5A.REGIAO,,
90032,090032 - SECRETARIA DO T.R.F.DA 1A.REGIAO-ORCAMENTARIA,,
90033,090033 - TRIBUNAL REGIONAL FEDERAL DA 4A.REGIAO-ORCAM.,,
90034,090034 - TRIBUNAL REGIONAL FEDERAL DA 2A.REGIAO-ORCAM.,,
90035,090035 - TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO-ORCAM.,,
90036,090036 - TRIBUNAL REGIONAL FEDERAL DA 5A.REGIAO-ORCAM.,,
90037,090037 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AP,,
90038,090038 - JUSTICA FEDERAL DE PRIMEIRO GRAU - TO,,
90039,090039 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RR,,
90047,090047 - TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO-PR.RPV,,
90048,090048 - TRIBUNAL REGIONAL FEDERAL DA 2A. REG.-PR. RPV,,
90049,090049 - TRIBUNAL REGIONAL FEDERAL DA 1A.REG.-PREC.RPV,,
90051,090051 - TRIBUNAL REGIONAL FEDERAL 4ª REGIAO-PREC/RPVS,,
100001,100001 - TRIB.DE JUSTICA DO D.F. E DOS  TERRITORIOS,,
100009,100009 - VARA DA INFANCIA E DA JUVENTUDE DO D.F.,,
110001,110001 - SECRETARIA DE ADMINISTRACAO/PR,,
110005,110005 - SECRETARIA DE ADMINISTRACAO/PR-SET.ORC.E FIN.,,
110008,110008 - SECRETARIA EXECUTIVA-MPA,,
110060,110060 - COORDENACAO-GERAL DE ORC.E FINANCAS/SG/AGU,,
110062,110062 - DIRETORIA DE GESTÃO DE PESSOAS-DGEP/SGA/AGU,,
110096,110096 - SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO,,
110097,110097 - SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL,,
110099,110099 - SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO,,
110101,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,,
110102,110102 - SUPERINTENDENCIA ADMINISTRACAO RIO DE JANEIRO,,
110120,110120 - AGENCIA BRASILEIRA DE INTELIGENCIA,,
110156,110156 - ESCOLA DA ADVOCACIA-GERAL DA UNIAO,,
110161,110161 - SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL,,
110174,110174 - DIRETORIA DE GESTAO INTERNA/SE/CGU,,
110175,110175 - COORD.-GERAL DE RECURSOS HUMANOS/DGI/SE/CGU,,
110176,110176 - COORD.-GERAL DE REC. LOGISTICOS/DGI/SE/CGU,,
110235,110235 - SECRETARIA NACIONAL DE JUVENTUDE,,
110244,110244 - FUNDO NACIONAL PARA A CRIANCA E O ADOLESCENTE,,
110245,110245 - FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.,,
110247,110247 - FUNDO DE IMPRENSA NACIONAL/COORD. REC. HUMAN.,,
110285,110285 - SEC. ADM/PR - REC EXT,,
110309,110309 - SECRETARIA DE PORTOS/PR,,
110319,110319 - SECRETARIA DE COMUNICACAO SOCIAL/PR,,
110322,110322 - GAB. DE SEG. INSTIT. DA PRES. DA REPUBLICA,,
110323,110323 - SECRETARIA DE PORTOS - OBRAS,,
110352,110352 - SECRETARIA GERAL/PR,,
110355,110355 - SECRETARIA DE ASSUNTOS ESTRATEGICOS-SAE/PR,,
110382,110382 - SECRETARIA DO CONS.DE DESENV.ECON.E SOCIAL,,
110402,110402 - ESCOLA SUPERIOR DE GUERRA,,
110404,110404 - DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,,
110406,110406 - REPRESENT.DO BRASIL NA JUNTA INTERAM.DEFESA,,
110407,"110407 - DEPARTAMENTO DE PLANEJ, ORÇAMENTO E FINANÇAS",,
110511,110511 - CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA,,
110562,110562 - SUBCHEFIA DE ASSUNTOS FEDERATIVOS/SRI/PR,,
110563,110563 - SECRETARIA DE RELAÇOES INSTITUCIONAIS-SRI/PR,,
110574,110574 - SECRETARIA DE IMPRENSA/SECOM/PR,,
110576,110576 - SPCI/ODP/RECURSOS EXTERNOS,,
110581,110581 - DIVISAO DE DIARIAS E PASSAGENS DA AGU,,
110590,110590 - SECRETARIA DE AVIAÇÃO CIVIL/PR,,
110591,110591 - FUNDO NACIONAL DE AVIAÇÃO CIVIL,,
110594,110594 - DEPARTAMENTO DO PROGRAMA CALHA NORTE,,
110595,110595 - FUNDO SOCIAL/FS,,
110614,110614 - SECRETARIA DE POLITICAS PARA MULHERES-REC.EXT,,
110619,110619 - PROG. FORTALEC. DA CAP. INST.P/ GES/REGULACAO,,
110620,110620 - COMISSÃO NACIONAL DA VERDADE/CNV,,
